#Code  ; Glyph                               ; Prio # Source
0x040A ; NJcy                                ; 5    # SGML Substitute
0x040A ; Njecyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x040B ; afii10060                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER TSHE
0x040B ; TSHcy                               ; 5    # SGML Substitute
0x040B ; Tshecyrillic                        ; 6    # Adobe Glyph List (Sept/02)
0x040C ; afii10061                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER KJE
0x040C ; KJcy                                ; 5    # SGML Substitute
0x040C ; Kjecyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x040E ; afii10062                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER SHORT U
0x040E ; Ubrcy                               ; 5    # SGML Substitute
0x040E ; Ushortcyrillic                      ; 6    # Adobe Glyph List (Sept/02)
0x040F ; afii10145                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER DZHE
0x040F ; DZcy                                ; 5    # SGML Substitute
0x040F ; Dzhecyrillic                        ; 6    # Adobe Glyph List (Sept/02)
0x0410 ; afii10017                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER A
0x0410 ; Acy                                 ; 5    # SGML Substitute
0x0410 ; Acyrillic                           ; 6    # Adobe Glyph List (Sept/02)
0x0411 ; afii10018                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER BE
0x0411 ; Bcy                                 ; 5    # SGML Substitute
0x0411 ; Becyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0412 ; afii10019                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER VE
0x0412 ; Vcy                                 ; 5    # SGML Substitute
0x0412 ; Vecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0413 ; afii10020                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER GHE
0x0413 ; Gcy                                 ; 5    # SGML Substitute
0x0413 ; Gecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0414 ; afii10021                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER DE
0x0414 ; dcy                                 ; 5    # SGML Substitute
0x0414 ; Decyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0415 ; afii10022                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER IE
0x0415 ; IEcy                                ; 5    # SGML Substitute
0x0415 ; Iecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0416 ; afii10024                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER ZHE
0x0416 ; ZHcy                                ; 5    # SGML Substitute
0x0416 ; Zhecyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0417 ; afii10025                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER ZE
0x0417 ; Zcy                                 ; 5    # SGML Substitute
0x0417 ; Zecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0418 ; afii10026                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER I
0x0418 ; Icy                                 ; 5    # SGML Substitute
0x0418 ; Iicyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0419 ; afii10027                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER SHORT I
0x0419 ; Jcy                                 ; 5    # SGML Substitute
0x0419 ; Iishortcyrillic                     ; 6    # Adobe Glyph List (Sept/02)
0x041A ; afii10028                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER KA
0x041A ; Kcy                                 ; 5    # SGML Substitute
0x041A ; Kacyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x041B ; afii10029                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER EL
0x041B ; Lcy                                 ; 5    # SGML Substitute
0x041B ; Elcyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x041C ; afii10030                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER EM
0x041C ; Mcy                                 ; 5    # SGML Substitute
0x041C ; Emcyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x041D ; afii10031                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER EN
0x041D ; Ncy                                 ; 5    # SGML Substitute
0x041D ; Encyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x041E ; afii10032                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER O
0x041E ; Ocy                                 ; 5    # SGML Substitute
0x041E ; Ocyrillic                           ; 6    # Adobe Glyph List (Sept/02)
0x041F ; afii10033                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER PE
0x041F ; Pcy                                 ; 5    # SGML Substitute
0x041F ; Pecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0420 ; afii10034                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER ER
0x0420 ; Rcy                                 ; 5    # SGML Substitute
0x0420 ; Ercyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0421 ; afii10035                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER ES
0x0421 ; Scy                                 ; 5    # SGML Substitute
0x0421 ; Escyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0422 ; afii10036                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER TE
0x0422 ; Tcy                                 ; 5    # SGML Substitute
0x0422 ; Tecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0423 ; afii10037                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER U
0x0423 ; Ucy                                 ; 5    # SGML Substitute
0x0423 ; Ucyrillic                           ; 6    # Adobe Glyph List (Sept/02)
0x0424 ; afii10038                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER EF
0x0424 ; Fcy                                 ; 5    # SGML Substitute
0x0424 ; Efcyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0425 ; afii10039                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER HA
0x0425 ; KHcy                                ; 5    # SGML Substitute
0x0425 ; Khacyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0426 ; afii10040                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER TSE
0x0426 ; TScy                                ; 5    # SGML Substitute
0x0426 ; Tsecyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0427 ; afii10041                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER CHE
0x0427 ; CHcy                                ; 5    # SGML Substitute
0x0427 ; Checyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0428 ; afii10042                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER SHA
0x0428 ; SHcy                                ; 5    # SGML Substitute
0x0428 ; Shacyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0429 ; afii10043                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER SHCHA
0x0429 ; SHCHcy                              ; 5    # SGML Substitute
0x0429 ; Shchacyrillic                       ; 6    # Adobe Glyph List (Sept/02)
0x042A ; afii10044                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER HARD SIGN
0x042A ; HARDcy                              ; 5    # SGML Substitute
0x042A ; Hardsigncyrillic                    ; 6    # Adobe Glyph List (Sept/02)
0x042B ; afii10045                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER YERU
0x042B ; Ycy                                 ; 5    # SGML Substitute
0x042B ; Yericyrillic                        ; 6    # Adobe Glyph List (Sept/02)
0x042C ; afii10046                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER SOFT SIGN
0x042C ; SOFTcy                              ; 5    # SGML Substitute
0x042C ; Softsigncyrillic                    ; 6    # Adobe Glyph List (Sept/02)
0x042D ; afii10047                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER E
0x042D ; Ecy                                 ; 5    # SGML Substitute
0x042D ; Ereversedcyrillic                   ; 6    # Adobe Glyph List (Sept/02)
0x042E ; afii10048                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER YU
0x042E ; YUcy                                ; 5    # SGML Substitute
0x042E ; IUcyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x042F ; afii10049                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER YA
0x042F ; YAcy                                ; 5    # SGML Substitute
0x042F ; IAcyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0430 ; afii10065                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER A
0x0430 ; acy                                 ; 5    # SGML Substitute
0x0430 ; acyrillic                           ; 6    # Adobe Glyph List (Sept/02)
0x0431 ; afii10066                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER BE
0x0431 ; bcy                                 ; 5    # SGML Substitute
0x0431 ; becyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0432 ; afii10067                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER VE
0x0432 ; vcy                                 ; 5    # SGML Substitute
0x0432 ; vecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0433 ; afii10068                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER GHE
0x0433 ; gcy                                 ; 5    # SGML Substitute
0x0433 ; gecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0434 ; afii10069                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER DE
0x0434 ; decyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0435 ; afii10070                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER IE
0x0435 ; iecy                                ; 5    # SGML Substitute
0x0435 ; iecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0436 ; afii10072                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER ZHE
0x0436 ; zhcy                                ; 5    # SGML Substitute
0x0436 ; zhecyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0437 ; afii10073                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER ZE
0x0437 ; zcy                                 ; 5    # SGML Substitute
0x0437 ; zecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0438 ; afii10074                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER I
0x0438 ; icy                                 ; 5    # SGML Substitute
0x0438 ; iicyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0439 ; afii10075                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER SHORT I
0x0439 ; jcy                                 ; 5    # SGML Substitute
0x0439 ; iishortcyrillic                     ; 6    # Adobe Glyph List (Sept/02)
0x043A ; afii10076                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER KA
0x043A ; kcy                                 ; 5    # SGML Substitute
0x043A ; kacyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x043B ; afii10077                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER EL
0x043B ; lcy                                 ; 5    # SGML Substitute
0x043B ; elcyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x043C ; afii10078                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER EM
0x043C ; mcy                                 ; 5    # SGML Substitute
0x043C ; emcyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x043D ; afii10079                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER EN
0x043D ; ncy                                 ; 5    # SGML Substitute
0x043D ; encyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x043E ; afii10080                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER O
0x043E ; ocy                                 ; 5    # SGML Substitute
0x043E ; ocyrillic                           ; 6    # Adobe Glyph List (Sept/02)
0x043F ; afii10081                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER PE
0x043F ; pcy                                 ; 5    # SGML Substitute
0x043F ; pecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0440 ; afii10082                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER ER
0x0440 ; rcy                                 ; 5    # SGML Substitute
0x0440 ; ercyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0441 ; afii10083                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER ES
0x0441 ; scy                                 ; 5    # SGML Substitute
0x0441 ; escyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0442 ; afii10084                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER TE
0x0442 ; tcy                                 ; 5    # SGML Substitute
0x0442 ; tecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0443 ; afii10085                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER U
0x0443 ; ucy                                 ; 5    # SGML Substitute
0x0443 ; ucyrillic                           ; 6    # Adobe Glyph List (Sept/02)
0x0444 ; afii10086                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER EF
0x0444 ; fcy                                 ; 5    # SGML Substitute
0x0444 ; efcyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0445 ; afii10087                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER HA
0x0445 ; khcy                                ; 5    # SGML Substitute
0x0445 ; khacyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0446 ; afii10088                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER TSE
0x0446 ; tscy                                ; 5    # SGML Substitute
0x0446 ; tsecyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0447 ; afii10089                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER CHE
0x0447 ; chcy                                ; 5    # SGML Substitute
0x0447 ; checyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0448 ; afii10090                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER SHA
0x0448 ; shcy                                ; 5    # SGML Substitute
0x0448 ; shacyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0449 ; afii10091                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER SHCHA
0x0449 ; shchcy                              ; 5    # SGML Substitute
0x0449 ; shchacyrillic                       ; 6    # Adobe Glyph List (Sept/02)
0x044A ; afii10092                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER HARD SIGN
0x044A ; hardcy                              ; 5    # SGML Substitute
0x044A ; hardsigncyrillic                    ; 6    # Adobe Glyph List (Sept/02)
0x044B ; afii10093                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER YERU
0x044B ; ycy                                 ; 5    # SGML Substitute
0x044B ; yericyrillic                        ; 6    # Adobe Glyph List (Sept/02)
0x044C ; afii10094                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER SOFT SIGN
0x044C ; softcy                              ; 5    # SGML Substitute
0x044C ; softsigncyrillic                    ; 6    # Adobe Glyph List (Sept/02)
0x044D ; afii10095                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER E
0x044D ; ecy                                 ; 5    # SGML Substitute
0x044D ; ereversedcyrillic                   ; 6    # Adobe Glyph List (Sept/02)
0x044E ; afii10096                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER YU
0x044E ; yucy                                ; 5    # SGML Substitute
0x044E ; iucyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x044F ; afii10097                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER YA
0x044F ; yacy                                ; 5    # SGML Substitute
0x044F ; iacyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0451 ; afii10071                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER IO
0x0451 ; iocy                                ; 5    # SGML Substitute
0x0451 ; iocyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0452 ; afii10099                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER DJE
0x0452 ; djcy                                ; 5    # SGML Substitute
0x0452 ; djecyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0453 ; afii10100                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER GJE
0x0453 ; gjcy                                ; 5    # SGML Substitute
0x0453 ; gjecyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0454 ; afii10101                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER UKRAINIAN IE
0x0454 ; jukcy                               ; 5    # SGML Substitute
0x0454 ; ecyrillic                           ; 6    # Adobe Glyph List (Sept/02)
0x0455 ; afii10102                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER DZE
0x0455 ; dscy                                ; 5    # SGML Substitute
0x0455 ; dzecyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0456 ; afii10103                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0x0456 ; iukcy                               ; 5    # SGML Substitute
0x0456 ; icyrillic                           ; 6    # Adobe Glyph List (Sept/02)
0x0457 ; afii10104                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER YI
0x0457 ; yicy                                ; 5    # SGML Substitute
0x0457 ; yicyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0458 ; afii10105                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER JE
0x0458 ; jsercy                              ; 5    # SGML Substitute
0x0458 ; jecyrillic                          ; 6    # Adobe Glyph List (Sept/02)
0x0459 ; afii10106                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER LJE
0x0459 ; ljcy                                ; 5    # SGML Substitute
0x0459 ; ljecyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x045A ; afii10107                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER NJE
0x045A ; njcy                                ; 5    # SGML Substitute
0x045A ; njecyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x045B ; afii10108                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER TSHE
0x045B ; tshcy                               ; 5    # SGML Substitute
0x045B ; tshecyrillic                        ; 6    # Adobe Glyph List (Sept/02)
0x045C ; afii10109                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER KJE
0x045C ; kjcy                                ; 5    # SGML Substitute
0x045C ; kjecyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x045E ; afii10110                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER SHORT U
0x045E ; ubrcy                               ; 5    # SGML Substitute
0x045E ; ushortcyrillic                      ; 6    # Adobe Glyph List (Sept/02)
0x045F ; afii10193                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER DZHE
0x045F ; dzcy                                ; 5    # SGML Substitute
0x045F ; dzhecyrillic                        ; 6    # Adobe Glyph List (Sept/02)
0x0460 ; Omegacyrillic                       ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER OMEGA
0x0461 ; omegacyrillic                       ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER OMEGA
0x0462 ; afii10146                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER YAT
0x0462 ; Yatcyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0463 ; afii10194                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER YAT
0x0463 ; yatcyrillic                         ; 6    # Adobe Glyph List (Sept/02)
0x0464 ; Eiotifiedcyrillic                   ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER IOTIFIED E
0x0465 ; eiotifiedcyrillic                   ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER IOTIFIED E
0x0466 ; Yuslittlecyrillic                   ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER LITTLE YUS
0x0467 ; yuslittlecyrillic                   ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER LITTLE YUS
0x0468 ; Yuslittleiotifiedcyrillic           ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS
0x0469 ; yuslittleiotifiedcyrillic           ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER IOTIFIED LITTLE YUS
0x046A ; Yusbigcyrillic                      ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER BIG YUS
0x046B ; yusbigcyrillic                      ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER BIG YUS
0x046C ; Yusbigiotifiedcyrillic              ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS
0x046D ; yusbigiotifiedcyrillic              ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER IOTIFIED BIG YUS
0x046E ; Ksicyrillic                         ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER KSI
0x046F ; ksicyrillic                         ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER KSI
0x0470 ; Psicyrillic                         ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER PSI
0x0471 ; psicyrillic                         ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER PSI
0x0472 ; afii10147                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER FITA
0x0472 ; Fitacyrillic                        ; 6    # Adobe Glyph List (Sept/02)
0x0473 ; afii10195                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER FITA
0x0473 ; fitacyrillic                        ; 6    # Adobe Glyph List (Sept/02)
0x0474 ; afii10148                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER IZHITSA
0x0474 ; Izhitsacyrillic                     ; 6    # Adobe Glyph List (Sept/02)
0x0475 ; afii10196                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER IZHITSA
0x0475 ; izhitsacyrillic                     ; 6    # Adobe Glyph List (Sept/02)
0x0476 ; Izhitsadblgravecyrillic             ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
0x0477 ; izhitsadblgravecyrillic             ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
0x0478 ; Ukcyrillic                          ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER UK
0x0479 ; ukcyrillic                          ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER UK
0x047A ; Omegaroundcyrillic                  ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER ROUND OMEGA
0x047B ; omegaroundcyrillic                  ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER ROUND OMEGA
0x047C ; Omegatitlocyrillic                  ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER OMEGA WITH TITLO
0x047D ; omegatitlocyrillic                  ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER OMEGA WITH TITLO
0x047E ; Otcyrillic                          ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER OT
0x047F ; otcyrillic                          ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER OT
0x0480 ; Koppacyrillic                       ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER KOPPA
0x0481 ; koppacyrillic                       ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER KOPPA
0x0482 ; thousandcyrillic                    ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC THOUSANDS SIGN
0x0483 ; titlocyrilliccmb                    ; 0    # Adobe Glyph List (Sept/02) # COMBINING CYRILLIC TITLO
0x0484 ; palatalizationcyrilliccmb           ; 0    # Adobe Glyph List (Sept/02) # COMBINING CYRILLIC PALATALIZATION
0x0485 ; dasiapneumatacyrilliccmb            ; 0    # Adobe Glyph List (Sept/02) # COMBINING CYRILLIC DASIA PNEUMATA
0x0486 ; psilipneumatacyrilliccmb            ; 0    # Adobe Glyph List (Sept/02) # COMBINING CYRILLIC PSILI PNEUMATA
0x0490 ; afii10050                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC CAPITAL LETTER GHE WITH UPTURN
0x0490 ; Gheupturncyrillic                   ; 6    # Adobe Glyph List (Sept/02)
0x0491 ; afii10098                           ; 0    # Adobe Glyph List FN (v1.3) # CYRILLIC SMALL LETTER GHE WITH UPTURN
0x0491 ; gheupturncyrillic                   ; 6    # Adobe Glyph List (Sept/02)
0x0492 ; Ghestrokecyrillic                   ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER GHE WITH STROKE
0x0493 ; ghestrokecyrillic                   ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER GHE WITH STROKE
0x0494 ; Ghemiddlehookcyrillic               ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER GHE WITH MIDDLE HOOK
0x0495 ; ghemiddlehookcyrillic               ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER GHE WITH MIDDLE HOOK
0x0496 ; Zhedescendercyrillic                ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER
0x0497 ; zhedescendercyrillic                ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER ZHE WITH DESCENDER
0x0498 ; Zedescendercyrillic                 ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER ZE WITH DESCENDER
0x0499 ; zedescendercyrillic                 ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER ZE WITH DESCENDER
0x049A ; Kadescendercyrillic                 ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER KA WITH DESCENDER
0x049B ; kadescendercyrillic                 ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER KA WITH DESCENDER
0x049C ; Kaverticalstrokecyrillic            ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER KA WITH VERTICAL STROKE
0x049D ; kaverticalstrokecyrillic            ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC SMALL LETTER KA WITH VERTICAL STROKE
0x049E ; Kastrokecyrillic                    ; 0    # Adobe Glyph List (Sept/02) # CYRILLIC CAPITAL LETTER KA WITH STROKE
